0000000320,0000265833,063157,061179,066748,066934,089638,-74768,-08800
0000000321,0000266667,063178,061106,066799,066934,096043,-52707,-37266
0000000322,0000267500,063221,061032,066832,066934,093134,-25509,-61556
0000000323,0000268333,063280,060962,066841,066934,081155,004177,-79262
0000000324,0000269167,063351,060905,066828,066934,061319,033432,-88682
0000000325,0000270000,063426,060866,066792,066934,035560,059406,-88896
0000000326,0000270833,063498,060848,066737,066934,006382,079530,-79842
0000000327,0000271667,063560,060854,066670,066934,-23341,091860,-62449
0000000328,0000272500,063606,060883,066595,066934,-50715,095196,-38411
0000000329,0000273333,063631,060932,066521,066934,-73035,089167,-10062
0000000330,0000274167,063633,060996,066455,066934,-88141,074406,019804
0000000331,0000275000,063612,061069,066404,066934,-94561,052354,048277
0000000332,0000275833,063569,061144,066371,066934,-91623,025143,072550
0000000333,0000276667,063509,061213,066362,066934,-79658,-04539,090267
0000000334,0000277500,063439,061270,066375,066934,-59832,-33799,099701
0000000335,0000278333,063363,061309,066411,066934,-34057,-59759,099886
0000000336,0000279167,063291,061327,066466,066934,-04885,-79892,090847
0000000337,0000280000,063230,061321,066533,066934,024842,-92236,073464
0000000338,0000280833,063184,061292,066608,066934,052203,-95542,049409
0000000339,0000281667,063159,061244,066682,066934,074532,-89528,021066
0000000340,0000282500,063157,061179,066748,066934,089652,-74780,-08802
0000000341,0000283333,063178,061106,066799,066934,096043,-52707,-37266
0000000342,0000284167,063221,061032,066832,066934,093120,-25504,-61546
0000000343,0000285000,063280,060962,066842,066934,081167,004178,-79276
0000000344,0000285833,063351,060905,066828,066934,061319,033432,-88682
0000000345,0000286667,063426,060866,066792,066934,035554,059397,-88882
0000000346,0000287500,063498,060848,066737,066934,006383,079542,-79856
0000000347,0000288333,063560,060854,066670,066934,-23341,091860,-62449
0000000348,0000289167,063606,060883,066595,066934,-50707,095181,-38404
0000000349,0000290000,063631,060932,066521,066934,-73047,089181,-10064
0000000350,0000290833,063633,060996,066455,066934,-88141,074407,019804
0000000351,0000291667,063612,061069,066404,066934,-94546,052345,048270
0000000352,0000292500,063569,061144,066371,066934,-91638,025147,072561
0000000353,0000293333,063509,061213,066362,066934,-79658,-04539,090267
0000000354,0000294167,063439,061270,066375,066934,-59822,-33794,099686
0000000355,0000295000,063363,061309,066411,066934,-34063,-59768,099900
0000000356,0000295833,063291,061327,066466,066934,-04886,-79892,090847
0000000357,0000296667,063230,061321,066533,066934,024838,-92222,073453
0000000358,0000297500,063184,061292,066608,066934,052211,-95557,049416
0000000359,0000298333,063159,061244,066682,066934,074532,-89528,021066
0000000360,0000299167,063157,061179,066748,066934,089638,-74768,-08800
0000000361,0000300000,063178,061106,066799,066934,096058,-52716,-37273
0000000362,0000300833,063221,061032,066832,066934,093120,-25505,-61546
0000000363,0000301667,063280,060962,066841,066934,081155,004177,-79262
0000000364,0000302500,063351,060905,066828,066934,061329,033437,-88697
0000000365,0000303333,063426,060866,066792,066934,035554,059397,-88882
0000000366,0000304167,063498,060848,066737,066934,006382,079530,-79842
0000000367,0000305000,063560,060854,066670,066934,-23345,091875,-62460
0000000368,0000305833,063606,060883,066595,066934,-50707,095181,-38405
0000000369,0000306667,063631,060932,066521,066934,-73035,089166,-10062
0000000370,0000307500,063633,060996,066455,066934,-88155,074418,019807
0000000371,0000308333,063612,061069,066404,066934,-94546,052345,048270
0000000372,0000309167,063569,061144,066371,066934,-91623,025143,072550
0000000373,0000310000,063509,061213,066361,066934,-79671,-04540,090280
0000000374,0000310833,063439,061270,066375,066934,-59822,-33794,099686
0000000375,0000311667,063363,061309,066411,066934,-34057,-59759,099886
0000000376,0000312500,063291,061327,066466,066934,-04886,-79904,090860
0000000377,0000313333,063230,061321,066533,066934,024838,-92222,073453
0000000378,0000314167,063184,061292,066608,066934,052203,-95542,049409
0000000379,0000315000,063159,061244,066682,066934,074543,-89543,021069
0000000380,0000315833,063157,061179,066748,066934,089638,-74768,-08800
0000000381,0000316667,063178,061106,066799,066934,096043,-52707,-37266
0000000382,0000317500,063221,061032,066832,066934,093134,-25509,-61556
0000000383,0000318333,063280,060962,066841,066934,081155,004177,-79262
0000000384,0000319167,063351,060905,066828,066934,061319,033432,-88682
0000000385,0000320000,063426,060866,066792,066934,035560,059406,-88896
